,Date,Open,High,Low,Close,Volume,Adj Close,Up or Down,100da,40da,20da
564,9/21/2012,31.1,31.49,29.540001,30.02,1870000,30.02,-1.0,30.193899980000015,29.136500050000006,29.24999999999999
565,9/24/2012,29.51,31.030001000000002,29.4,30.66,1301900,30.66,1.0,30.16109999000001,29.165250050000008,29.307999999999986
566,9/25/2012,28.620001000000002,29.48,27.530001000000002,27.66,5680400,27.66,-1.0,30.11310000000001,29.173000050000013,29.274999999999984
567,9/26/2012,27.66,28.4,27.48,27.540001,1527200,27.540001,-1.0,30.070200010000008,29.17600007500001,29.21749999999998
568,9/27/2012,27.82,28.540001,27.6,28.49,1758600,28.49,1.0,30.030400000000004,29.232000075000013,29.22149999999998
569,9/28/2012,28.73,29.889999,28.610001,29.280001000000002,4343400,29.280001000000002,1.0,30.021300000000007,29.311500100000018,29.26500004999998
570,10/1/2012,29.5,29.889999,29.0,29.16,884400,29.16,-1.0,30.012300010000004,29.35875010000002,29.29700004999998
571,10/2/2012,29.280001000000002,29.889999,29.0,29.799999,729000,29.799999,1.0,29.98070001,29.397000075000022,29.38000004999998
572,10/3/2012,29.75,29.950001,29.24,29.299999,1052800,29.299999,-1.0,29.9512,29.373250050000024,29.447999949999975
573,10/4/2012,30.0,30.1,28.65,29.4,1541300,29.4,-1.0,29.94460001,29.38100005000003,29.490499999999976
574,10/5/2012,29.700001,29.809998999999998,28.68,28.889999,938600,28.889999,-1.0,29.9392,29.368000025000025,29.467499949999972
575,10/8/2012,28.860001,29.4,28.610001,29.25,889700,29.25,1.0,29.9399,29.350750000000026,29.561499899999973
576,10/9/2012,29.120001000000002,29.120001000000002,28.25,28.370001000000002,1193000,28.370001000000002,-1.0,29.93790001,29.280750025000025,29.589999999999975
577,10/10/2012,28.389999,28.719998999999998,28.01,28.4,503600,28.4,1.0,29.94630002,29.255250025000027,29.595999949999975
578,10/11/2012,28.940001000000002,28.98,28.25,28.32,450600,28.32,-1.0,29.941800020000002,29.228250025000023,29.53799994999998
579,10/12/2012,28.32,28.73,27.5,27.639999,987600,27.639999,-1.0,29.91020002,29.16175002500002,29.400499949999976
580,10/15/2012,28.02,28.049999,26.860001,27.33,1468700,27.33,-1.0,29.873300020000002,29.094750025000018,29.13999989999998
581,10/16/2012,27.67,28.09,27.34,28.059998999999998,479300,28.059998999999998,1.0,29.851100000000002,29.05850000000002,28.975999849999976
582,10/17/2012,28.25,28.84,27.799999,28.82,668000,28.82,1.0,29.84120001,29.05124997500002,28.86449989999998
583,10/18/2012,28.99,28.99,27.780001000000002,28.040001,741000,28.040001,-1.0,29.80470001,29.00349997500002,28.72149994999998
584,10/19/2012,27.83,28.200001,27.299999,27.74,1027400,27.74,-1.0,29.77800001,28.928749975000024,28.607499949999983
585,10/22/2012,27.99,28.0,27.360001,27.85,470200,27.85,-1.0,29.76150001,28.88749997500002,28.466999949999984
586,10/23/2012,27.379998999999998,28.559998999999998,27.370001000000002,28.389999,749000,28.389999,1.0,29.7639,28.88924995000002,28.503499899999987
587,10/24/2012,28.52,28.52,27.25,27.42,1016400,27.42,-1.0,29.759300009999997,28.857499925000024,28.497499849999986
588,10/25/2012,27.799999,27.799999,27.450001,27.52,577700,27.52,-1.0,29.75540001,28.83524992500002,28.448999849999986
589,10/26/2012,27.530001000000002,27.799999,27.02,27.379998999999998,477400,27.379998999999998,-1.0,29.737000010000003,28.80949990000002,28.353999749999986
590,10/31/2012,27.700001,28.35,27.370001000000002,28.129998999999998,775200,28.129998999999998,1.0,29.729,28.79974987500002,28.302499699999988
591,11/1/2012,28.25,29.49,28.200001,29.25,1024100,29.25,1.0,29.7207,28.82749990000002,28.27499974999999
592,11/2/2012,29.27,29.549999,28.549999,28.92,1030300,28.92,-1.0,29.718699990000005,28.851999875000025,28.25599979999999
593,11/5/2012,29.799999,31.58,29.33,31.5,2048900,31.5,1.0,29.737099990000004,28.92574990000002,28.36099979999999
594,11/6/2012,30.610001,31.200001,29.950001,31.15,2324000,31.15,1.0,29.750899990000008,28.970749900000026,28.47399984999999
595,11/7/2012,31.0,32.049999,30.809998999999998,31.540001,1714500,31.540001,1.0,29.772400010000005,29.07499990000003,28.588499899999988
596,11/8/2012,31.01,31.879998999999998,30.940001000000002,31.309998999999998,1274000,31.309998999999998,1.0,29.786400000000008,29.16274990000003,28.735499799999985
597,11/9/2012,30.6,30.93,29.85,30.32,863000,30.32,-1.0,29.771200000000007,29.213749875000026,28.83149979999999
598,11/12/2012,30.290001,31.42,30.16,31.07,555900,31.07,1.0,29.76100000000001,29.253499875000024,28.968999799999988
599,11/13/2012,31.290001,32.0,30.719998999999998,31.610001,998300,31.610001,1.0,29.73930002000001,29.283999925000025,29.16749989999999
600,11/14/2012,31.959999,32.119999,31.200001,31.379998999999998,871300,31.379998999999998,-1.0,29.731200020000006,29.25499987500002,29.36999984999999
601,11/15/2012,31.299999,31.440001000000002,30.5,30.82,984000,30.82,-1.0,29.701500010000007,29.241999875000023,29.507999899999994
602,11/16/2012,31.15,32.0,30.59,31.84,908700,31.84,1.0,29.68880000000001,29.26174990000002,29.65899989999999
